[2020-10-20 14:49:07,175] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_res/pc/pf/pf.js
[2020-10-20 14:49:07,176] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_my/pc_pf.js HTTP/1.1" 404 2200
[2020-10-20 14:49:07,176] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_res/pc/pf/pf.js?ab_key=k9 HTTP/1.1" 404 2222
[2020-10-20 14:51:06,854] [views.py:232] [views:index] [INFO]- 缓存中的key为：None----浏览器中的key为:a5d89868129d11eb96a55800e3fb0696
[2020-10-20 14:51:06,871] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/index HTTP/1.1" 302 0
[2020-10-20 14:51:06,879] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/login HTTP/1.1" 200 4706
[2020-10-20 14:51:06,932] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/draw HTTP/1.1" 200 2457
[2020-10-20 14:51:15,603] [basehttp.py:124] [basehttp:log_message] [INFO]- "POST /user/login HTTP/1.1" 302 0
[2020-10-20 14:51:15,620] [views.py:232] [views:index] [INFO]- 缓存中的key为：a0eb879412a011ebbcd65800e3fb0696----浏览器中的key为:a0eb879412a011ebbcd65800e3fb0696
[2020-10-20 14:51:15,636] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/index HTTP/1.1" 200 40270
[2020-10-20 14:52:30,878] [views.py:232] [views:index] [INFO]- 缓存中的key为：a0eb879412a011ebbcd65800e3fb0696----浏览器中的key为:a0eb879412a011ebbcd65800e3fb0696
[2020-10-20 14:52:30,881] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/index HTTP/1.1" 200 42173
[2020-10-20 14:52:30,927] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_my/pc_pf.js
[2020-10-20 14:52:30,932] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_res/pc/pf/pf.js
[2020-10-20 14:52:30,933] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_my/pc_pf.js HTTP/1.1" 404 2200
[2020-10-20 14:52:30,934] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_res/pc/pf/pf.js?ab_key=k9 HTTP/1.1" 404 2222
[2020-10-20 14:52:31,004] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_my/pc_pf.js
[2020-10-20 14:52:31,005] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_my/pc_pf.js HTTP/1.1" 404 2200
[2020-10-20 14:52:31,016] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_my/pc_pf.js
[2020-10-20 14:52:31,023] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_res/pc/pf/pf.js
[2020-10-20 14:52:31,023] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_my/pc_pf.js HTTP/1.1" 404 2200
[2020-10-20 14:52:31,024] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /ab_res/pc/pf/pf.js?ab_key=k9 HTTP/1.1" 404 2222
[2020-10-20 14:54:50,353] [views.py:232] [views:index] [INFO]- 缓存中的key为：a0eb879412a011ebbcd65800e3fb0696----浏览器中的key为:a0eb879412a011ebbcd65800e3fb0696
[2020-10-20 14:54:50,368] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /user/index HTTP/1.1" 200 42176
[2020-10-20 14:54:50,426] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_my/pc_pf.js
[2020-10-20 14:54:50,435] [base.py:93] [base:get_response] [WARNING]- Not Found: /ab_res/pc/pf/pf.js
